sikayet_metni,mudurluk_slug
piknik alanı sonrası çöp bırakılmış,TEMIZLIK_ISLERI
sokak hayvanı dışkısı temizlenmemiş,TEMIZLIK_ISLERI
yağmur sonrası lağım kokusu,TEMIZLIK_ISLERI
market önü çöp kutusu sürekli dolu,TEMIZLIK_ISLERI
cam ve metal atık ayrı toplanmıyor,TEMIZLIK_ISLERI
sokak temizliği haftalardır yapılmıyor,TEMIZLIK_ISLERI
parktaki ağaç budanmamış dal düşebilir,PARK_BAHCE
çocuk oyun parkı salıncak kırık,PARK_BAHCE
yeşil alan sulama yapılmıyor çimen kurudu,PARK_BAHCE
park bankları boyasız ve kırık,PARK_BAHCE
ağaç kökü kaldırımı kaldırdı,PARK_BAHCE
park içi yürüyüş yolu çamurlu,PARK_BAHCE
çiçek tarhları bakımsız,PARK_BAHCE
fidan dikimi yapılmamış alan boş,PARK_BAHCE
park aydınlatması çalışmıyor,PARK_BAHCE
kaydırak paslı güvenli değil,PARK_BAHCE
çim biçme yapılmamış görüntü kirliliği,PARK_BAHCE
ağaç hastalıklı kuruyor dallar,PARK_BAHCE
park tuvaleti kapalı ve kirli,PARK_BAHCE
otopark yanı yeşil alan çöplü,PARK_BAHCE
saksı bitkileri kurumuş,PARK_BAHCE
park girişinde çalılar görüşü kapatıyor,PARK_BAHCE
spor aletleri gevşek kaza riski,PARK_BAHCE
göl kenarı çimen zarar görmüş,PARK_BAHCE
park içi çeşme su akmıyor,PARK_BAHCE
bahçe duvarı yıkılmış,PARK_BAHCE
ağaç dalı elektrik hattına değiyor,PARK_BAHCE
mezarlık çevresi ot budanmamış,PARK_BAHCE
refüj yeşillik kurumuş,PARK_BAHCE
park zemin kaplaması kalkmış,PARK_BAHCE
çocuk parkı kum havuzu dağılmış,PARK_BAHCE
sokak hayvanı yaralı yardım lazım,VETERINER
saldırgan sokak köpeği var,VETERINER
ölmüş kedi kaldırımda duruyor,VETERINER
kuş yavrusu düşmüş bakım gerekli,VETERINER
sokak hayvanlarına su konulmalı,VETERINER
kedi yavrusu apartman bodrumunda,VETERINER
köpek ısırığı oldu veteriner gerekli,VETERINER
sokak köpeği trafikte tehlike,VETERINER
yaralı martı kumsalda,VETERINER
sokak kedisi hasta kusuyor,VETERINER
köpek sürüsü mahallede geziyor,VETERINER
hayvan barınağı kapasitesi dolu mu,VETERINER
zehirlenme şüphesi olan kedi,VETERINER
sokak hayvanı kısırlaştırma talebi,VETERINER
ölü köpek yol kenarında,VETERINER
yavru köpek terk edilmiş,VETERINER
sokak hayvanı mama istasyonu boş,VETERINER
kedi mama kutusu kırık,VETERINER
sokak köpeği sürekli havlıyor,VETERINER
yaralı kaplumbağa bulundu,VETERINER
sokak hayvanı aşı kampanyası isteniyor,VETERINER
köpek kulübesi yıkılmış soğukta,VETERINER
sokak kedisi araba motoruna girdi,VETERINER
hayvan istilası şikayeti,VETERINER
sokak hayvanı toplama talebi,VETERINER
